Double Layer,Name,Single Layer
18.0,TradeBit,1.0
1071.0,Lucyd,1.0
0.0,VR Platform OKO,2.0
0.0,OILSC,2.0
0.0,PM7,4.0
0.0,FutureWorks Token,5.0
0.0,Neuromation,4.0
32.0,Bondkick Syndicate,4.0
0.0,Napoleon X,35.0
0.0,ModulTrade,3.0
0.0,Digitex,4.0
0.0,TORQ,2.0
0.0,EMU Project,8.0
1212.0,Biometrids,2.0
0.0,1World,88.0
0.0,Ethereum.link,3.0
27.0,Suretly,1.0
0.0,StockBlock,2.0
0.0,Hive Project,3.0
0.0,NeuroBot,29.0
3.0,Virtual Cash Back,15.0
0.0,TeamCoin,3.0
0.0,300 Token,5.0
0.0,Robomed Network,2.0
8.0,Eagle Project,34.0
0.0,Veritaseum,7.0
1.0,Fujinto,217.0
0.0,COSS,27.0
0.0,Godzillion,31.0
0.0,Authoreon,3.0
0.0,Snip,7.0
0.0,SpankChain,12.0
0.0,MobileGo,3.0
0.0,DisLedger,2.0
0.0,Embermine,161.0
0.0,DMarket,3.0
0.0,BitDice,750.0
0.0,TravelCoin,2.0
0.0,Nametoken,2.0
622.0,Rasputin,0.0
4.0,BitDegree,2.0
0.0,CoinDash,5.0
885430.0,Substratum,1.0
0.0,Polybius,3.0
0.0,Tierion,2.0
0.0,0xcert,5.0
0.0,Aleef (PreICO),7.0
188.0,AvaGo,1.0
3859.0,BunnyToken,1.0
57.0,carboneum,2.0
507.0,Cloudbric,13.0
0.0,CryptoAds,2.0
0.0,cubaaz,2.0
0.0,D-Zone,2.0
0.0,ECX Exchange,3.0
16.0,Extrabit,2.0
4.0,Gabro,6.0
0.0,GPN COIN,67.0
0.0,HEdpAY,2.0
1072.0,HireGo,2.0
0.0,INTRO,2.0
0.0,LocalCoinSwap,3.0
188.0,Matrix,1.0
0.0,MAVRO,2.0
0.0,Midas,2.0
0.0,Nagricoin,6.0
10047.0,Natcoin,29.0
0.0,Netterium,2.0
390.0,Orbeum,9.0
77.0,Qurrex,1.0
3255.0,TLPAC,30.0
0.0,True Reply,5.0
30243.0,C3C.Network (PreICO),25.0
124.0,CryptoDime,0.0
0.0,dStadia,4.0
0.0,Etheera,3.0
491888.0,FTEC,41.0
0.0,Humbyl,2.0
1443.0,Istrium,37.0
7002.0,Lavenir ICO,2.0
182.0,Talketh,6.0
125.0,B-mail,6.0
0.0,Global Tech,7.0
0.0,XS2 Exchange,35.0
0.0,SBC Platform,2.0
0.0,Bitair,47.0
208.0,CMC,2.0
11.0,Bucky,1.0
0.0,Nettekcoin,8.0
