ICO_Name_ib,Status(donghwa),Etherscan Address,ICO_Name_rt,ico_address,no_tl,Success (Y/N),Platform_ib,Type_ib,ICO start_ib,ICO end_ib,ICO_start_rt,ICO_end_rt,DistributorAddress,Single Layer,Double Layer
Forty Seven Bank,OK,0x1ed7ae1f0e2fa4276dd7ddc786334a3df81d50c0,,https://icobench.com/ico/forty-seven-bank,3780,Y,Ethereum,ERC20,2017-12-16,2018-05-17,,,0x0000000000000000000000000000000000000000,0.0,0.0
Fox Trading,OK,0xfbe878ced08132bd8396988671b450793c44bc12,Foxtrading,https://icobench.com/ico/fox-trading,3781,N,Ethereum,ERC20,2018-05-23,2018-06-08,,,0x0000000000000000000000000000000000000000,0.0,0.0
Fractal Token CrowdSale,OK,0xd48f07D942a075FBbA9836a2898Dda2702c7FFdA,Fractal Token,https://icobench.com/ico/fractal-token-crowdsale,3782,N,Ethereum,ERC20,2018-05-01,2018-07-31,,,0x0000000000000000000000000000000000000000,0.0,0.0
Frasindo,NonERC20,0xc60000ba92b436bc165fd48d803bce95a099ab67,Frasindo,https://icobench.com/ico/frasindo,3783,N,Stellar,,2018-02-15,2018-04-15,2018-02-15,2018-04-15,,0.0,0.0
Free Market Token,NonERC20,,,https://icobench.com/ico/free-market-token,3784,N,NEM,,2018-07-05,2018-09-06,,,,0.0,0.0
FReeStart (PreICO),NoMatch,,FRee Start,https://icobench.com/ico/freestart,3786,N,Ethereum,ERC20,2018-09-01,2018-10-19,,,,0.0,0.0
FreeZone,NoMatch,,FreeZone,https://icobench.com/ico/freezone,3787,N,Ethereum,ERC20,2018-04-03,2018-04-30,2018-04-03,2018-05-02,,0.0,0.0
FRESCO,transfer after ending,0x351d5ea36941861d0c03fdfb24a8c2cb106e068b,Fresco,https://icobench.com/ico/fresco,3789,Y,Ethereum,ERC20,2018-03-21,2018-04-15,2018-03-21,2018-04-15,,0.0,0.0
froshfeel,NoMatch,,FroshFeel,https://icobench.com/ico/froshfeel,3791,Y,Ethereum,ERC20,2018-04-01,2018-04-30,,,,0.0,0.0
FTCoin,NoMatch,,,https://icobench.com/ico/ftcoin,3792,N,Ethereum,ERC20,2017-09-10,2018-03-18,,,,0.0,0.0
FTW,NonERC20,,FTW coin,https://icobench.com/ico/ftw,3794,N,NEO,NEP5,2018-04-15,2018-07-19,,,,0.0,0.0
Future Coin Light,NoMatch,,Future Coin Light,https://icobench.com/ico/future-coin-light,3797,N,,ERC20,,2018-04-09,2018-04-09,2018-05-09,,0.0,0.0
FXPay,transfer after ending,0x14ddda446688b73161aa1382f4e4343353af6fc8,FXPay,https://icobench.com/ico/fxpay,3799,Y,Ethereum,ERC20,2018-08-01,2018-10-31,2018-08-01,2018-10-31,,0.0,0.0
Gabro,OK,0x295e093f47d63258a102ea4bfa69fde4beb4ab2e,Gabro,https://icobench.com/ico/gabro,3800,Y,Ethereum,ERC20,2018-07-31,2018-09-30,2018-07-31,2018-08-31,0xf54f1bdd09be61d2d92687b25a12d91fafdf94fc,6.0,4.0
Gagapay Network,NonERC20,,GAGAPAY NETWORK,https://icobench.com/ico/gagapay-network,3801,Y,NEO,NEP-5,2018-04-30,2018-07-15,2018-04-30,2018-07-15,,0.0,0.0
Gainz Token,NoTokenTransfer,0x764c43c846265399abd79bf070a0396a21b4a489,Gainz Token (GAINZ),https://icobench.com/ico/gainz-token,3802,N,Ethereum,ERC20,2018-05-14,2018-06-15,,,,0.0,0.0
GAMB,transfer after ending,0xa0008f510fe9ee696e7e320c9e5cbf61e27791ee,GAMB,https://icobench.com/ico/gamb,3805,Y,Ethereum,ERC20,,,,,,0.0,0.0
Gamblica,OK,0xfe1d71498da3261844ec14325bdbc93c0f7579f0,GAMBLICA,https://icobench.com/ico/gamblica,3806,Y,Ethereum,ERC20,2018-05-07,2018-10-01,2018-03-11,2018-09-30,,0.0,0.0
Game Stars,OK,0x67a9099f0008c35c61c00042cd9fb03684451097,Game Stars,https://icobench.com/ico/game-stars,3808,Y,Ethereum,ERC20,2018-05-10,2018-07-09,,,0x02d105f68abf0cb98416fd018a25230e80974abf,0.0,0.0
GANA,OK,0xc0ea6306f6360fe7dcab65d16bf1a3af92c79aa2,GANA,https://icobench.com/ico/gana,3811,Y,Ethereum,ERC20,2018-05-21,2018-07-21,2018-05-21,2018-07-21,0xfc543ba94943da77236d38d1cbe6bd9c7b945dfc,0.0,0.0
Garnet,NoTokenTransfer,0x6bddf69aedb715fe901681d71951730cbf626f3c,,https://icobench.com/ico/garnet,3813,N,Ethereum,ERC20,,2018-06-25,,,,0.0,0.0
Garuda Energy,transfer after ending,0x610740af3f25b72892ba21b98bfb8595f2cde386,Garuda Energy,https://icobench.com/ico/garuda-energy,3814,Y,Ethereum,ERC20,,2018-04-24,,,,0.0,0.0
GasCompressorCoin,NoMatch,,GasCompressorCoin,https://icobench.com/ico/gascompressorcoin,3815,N,Ethereum,ERC20,2018-04-17,2018-05-31,2018-04-17,2018-05-27,,0.0,0.0
Gastery,ICODateSeemsWrong,0x8017a9b1a261c9c445ba8cc6e8b17c539cd47423,Gastery,https://icobench.com/ico/gastery,3816,Y,Ethereum,ERC20,2018-05-01,2018-11-20,2018-05-01,2018-11-22,,0.0,0.0
Gaus,NoTokenTransfer,0x2f275d3514b642179785bea18c9ab2ad541cec70,Gaus Trade,https://icobench.com/ico/gaus,3818,N,Ethereum,ERC20,2018-10-18,2018-11-19,,,,0.0,0.0
GBX,NoMatch,,,https://icobench.com/ico/gbx,3819,Y,Ethereum,ERC20,2018-02-07,2018-02-14,,,,0.0,0.0
Geekzcode,NoMatch,,Geekzcode,https://icobench.com/ico/geekzcode,3821,N,Ethereum,ERC20,2018-03-09,2018-03-31,2018-03-09,2018-03-31,,0.0,0.0
genEOS,NonERC20,0xbfa82fbe0e66d8e2b7dcc16328db9ecd70533d13,genEOS,https://icobench.com/ico/geneos,3823,N,EOS,ERC20,,,2018-06-26,2018-11-06,,0.0,0.0
Genesis,NoMatch,,GENESIS,https://icobench.com/ico/genesis,3824,Y,Ethereum,ERC20,2018-04-01,2018-06-30,,,,0.0,0.0
Genesis Space,NoMatch,,,https://icobench.com/ico/genesis-space,3825,Y,Ethereum,ERC20,2018-08-04,2018-09-04,,,,0.0,0.0
GENEXI,NoMatch,,Genexi,https://icobench.com/ico/genexi,3827,Y,Ethereum,ERC20,2018-06-01,2018-09-10,2018-06-01,2018-08-31,,0.0,0.0
Germoney,NoTokenTransfer,0x6fb01e529c77150096d4866394d0925fa26a0eb1,Germoney,https://icobench.com/ico/germoney,3830,N,Ethereum,ERC20,2018-03-18,2018-06-10,,,,0.0,0.0
Gese (PreICO),transfer after ending,0x083802265c0585a788df3c890fbb17d5362502b2,Gese,https://icobench.com/ico/gese,3831,N,Ethereum,ERC20,2018-09-05,2018-10-04,,,,0.0,0.0
Get Do It,NoMatch,,GetDoIt,https://icobench.com/ico/get-do-it,3832,N,Ethereum,ERC20,2018-10-01,2018-11-25,,,,0.0,0.0
Giftcoin,OK,0x578fe5948d5b3993dbde7dad23a942ce48213576,Giftcoin,https://icobench.com/ico/giftcoin,3839,Y,Ethereum,ERC20,2018-03-20,2018-04-19,2018-03-20,2018-04-19,0x0f72b988c30a4e4472607703c3363dcfe0f58e0d,0.0,0.0
GINEX,NoTokenTransfer,0x4cd958b7533d765ab38eb9be17d74bbf200a147b,,https://icobench.com/ico/ginex,3841,N,Ethereum,ERC20,2018-06-07,2018-10-08,,,,0.0,0.0
GL TOKEN,NoTokenTransfer,0x857a794b2f5dd62ead55ff71a4d18736afbbf95c,,https://icobench.com/ico/gl-token,3842,N,Ethereum,ERC20,2018-02-23,2018-05-04,,,,0.0,0.0
GLEDOS,NoMatch,,GLEDOS,https://icobench.com/ico/gledos,3844,N,Ethereum,ERC20,2018-09-06,2018-10-06,2018-09-06,2018-10-04,,0.0,0.0
GlitzKoin,NonERC20,,GlitzKoin,https://icobench.com/ico/glitzkoin,3845,Y,Stellar,Stellar,,2018-06-25,2018-03-16,2018-06-25,,0.0,0.0
Global Pay Net,NonERC20,,Global Pay Net,https://icobench.com/ico/global-pay-net,3846,N,Scrypt,Scrypt,,2018-08-24,,,,0.0,0.0
Global RE Bitcoin,NoTokenTransfer,0x8520e5c74cd948dbac3b2180b783ca5557216152,,https://icobench.com/ico/global-re-bitcoin,3847,N,Ethereum,ERC20,2018-04-01,2018-07-01,,,,0.0,0.0
Global REIT,transfer after ending,,Global REIT (GRET/GREM),https://icobench.com/ico/global-reit,3848,Y,Ethereum,ERC20,2018-06-01,2018-06-30,2018-06-01,2018-06-30,,0.0,0.0
Global Shrimp Coin,NoTokenTransfer,,Global Shrimp Coin,https://icobench.com/ico/global-shrimp-coin,3849,N,Ethereum,ERC20,,2018-05-15,2018-04-01,2018-04-30,,0.0,0.0
Global Spy,NoTokenTransfer,0xb91afd1fa3e9c3055b18214b0041563484c71aa0,Global Spy,https://icobench.com/ico/global-spy,3850,N,Ethereum,ERC20,2018-05-15,2018-06-15,2018-05-15,2018-06-15,0x0000000000000000000000000000000000000000,0.0,0.0
GlobalCarService,OK,0x77a660753874723fa48460a179992cd29a5e617a,GlobalCarService,https://icobench.com/ico/globalcarservice,3851,N,Ethereum,ERC20,2018-06-25,2018-09-08,2018-06-25,2018-09-08,"0x0000000000000000000000000000000000000000,0x3dac68f3c3a3a12d1a98d314e574215552143e86",0.0,0.0
Globatalent,transfer after ending,0xd8bd3958725f216eb236e9dc65b169de48101c6a,Globatalent,https://icobench.com/ico/globatalent,3852,Y,Ethereum,ERC20,2018-06-18,2018-06-30,2018-04-16,2018-05-06,,0.0,0.0
GlobeCas (PreICO),NoMatch,,GlobeCas,https://icobench.com/ico/globecas,3854,N,Ethereum,ERC20,2018-09-11,2018-10-24,,,,0.0,0.0
GlobexSCI,OK,0x88dbd3f9e6809fc24d27b9403371af1cc089ba9e,Globex SCI,https://icobench.com/ico/globexsci,3855,N,Ethereum,ERC20,2018-04-20,2018-07-01,,,0x845565dfeec2d3eeb1583cf3a6336428be59c19b,0.0,0.0
Gnome Invasion,NoMatch,,Gnome Invasion,https://icobench.com/ico/gnome-invasion,3856,N,Ethereum,ERC20,,2018-09-28,2018-07-11,2018-08-11,,0.0,0.0
GO CUBO LODGE CLUB,NoMatch,,,https://icobench.com/ico/go-cubo-lodge-club,3857,Y,Ethereum,ERC20,,2018-05-29,,,,0.0,0.0
GoChain,NoMatch,,GoChain,https://icobench.com/ico/gochain,3858,Y,Ethereum,ERC20,,,2018-05-16,2018-05-31,,0.0,0.0
GOeureka,transfer after ending,0x8678b5fb41d87f4bec43b3142bce852366100336,GOeureka,https://icobench.com/ico/goeureka,3859,N,Ethereum,ERC20,2018-07-16,2018-11-30,,,,0.0,0.0
GoHelpFund,transfer after ending,0xbbc2045d335cb224228f1850b29173d9d7d7b989,Go Help Fund,https://icobench.com/ico/gohelpfund,3860,N,Ethereum,ERC20,2018-02-24,2018-04-24,2018-02-23,2018-03-23,,0.0,0.0
Gold Bits Coin,OK,0xc8058d59e208399b76e66da1ec669dd6b1bee2ea,GOLD BITS COIN,https://icobench.com/ico/gold-bits-coin,3861,Y,Ethereum,ERC20,2018-02-01,2018-05-25,2018-01-31,2018-05-25,0xc8058d59e208399b76e66da1ec669dd6b1bee2ea,0.0,0.0
Gold Byte Coin,,0x0f23693f02431625de453f61487ffdf8d63527f0,,https://icobench.com/ico/gold-byte-coin,3862,N,Ethereum,ERC20,,2018-04-05,,,,0.0,0.0
GoldBox.io,OK,0xa4228f76abc218d981db1995b779954c78c00e99,GoldBox,https://icobench.com/ico/goldbox-io,3863,N,Ethereum,ERC20,2018-07-01,2018-09-01,,,0xa9cd57e9270532bf376e31e5ea31186c2bfd1d78,0.0,0.0
Goldea,OK,0xb4ee72d819c23a48a02c12c29331641426599266,Goldea,https://icobench.com/ico/goldea,3864,Y,Ethereum,ERC20,2017-12-01,2018-06-05,2017-11-30,2018-03-31,"0x3076d20cef23cf934fc6f857eb97e2baa63fc9fb,0x1ada104c71d837ee35f5eac6b465c0526f21bf27",0.0,0.0
Golden Fleece,DistributorsHardtoIdentify,0x26607f9bf9d62a37b0c78e1d3719fcd1fa32bef9,Golden Fleece,https://icobench.com/ico/golden-fleece,3866,Y,Ethereum,ERC20,2018-02-15,2018-03-31,,,,0.0,0.0
Goldiam,OK,0x75720c5d36c235b97f7d9bc642ead5884a953e5d,Goldiam,https://icobench.com/ico/goldiam,3867,N,Ethereum,ERC20,2018-03-20,2018-05-18,,,0x0f1f2c619fa8a05fcce5233aa8c67e943d1957ee,0.0,0.0
Goldma,NonERC20,,GoldMA,https://icobench.com/ico/goldma,3868,Y,Waves,Waves,2018-07-12,2018-10-12,2018-07-12,2018-10-12,,0.0,0.0
GoldMineCoin,NoTokenTransfer,0x34213077b630c0208740012e730bdc63c6889892,GoldMineCoin,https://icobench.com/ico/goldminecoin,3869,N,Ethereum,ERC-20,2018-02-15,2018-01-01,2018-02-15,2018-03-15,,0.0,0.0
GOToken,transfer after ending,0x423b5f62b328d0d6d44870f4eee316befa0b2df5,GOToken,https://icobench.com/ico/gotoken,3873,Y,Ethereum,ERC20,2018-06-12,2018-07-03,2018-06-12,2018-06-26,,0.0,0.0
GPCC  - Global Protected Crypto Copyright,NoTokenTransfer,0x20c632e587aea97eff47d04d522aa1b00c72a197,GPCC,https://icobench.com/ico/gpcc,3874,N,Ethereum,ERC20,2018-06-01,2018-09-01,,,,0.0,0.0
GPN COIN,OK,0xE2b407160AAd5540eAc0e80338b9a5085C60F25B,GPN Coin,https://icobench.com/ico/gpn-coin,3875,N,Ethereum,ERC 20,2018-04-16,2018-06-15,,,0x5f5affd524e4f0efffa61e25f85c05aff37de051,67.0,0.0
Gramaton Token,NoTokenTransfer,0xe2bc73400339b41e84ab3bd79826e97e46972af8,Gramaton,https://icobench.com/ico/gramaton-token,3876,N,Ethereum,ERC20,2018-05-28,2018-07-24,,,,0.0,0.0
Grapevine,transfer after ending,0x0c31f4ac8f7d6958e9226b4faf5dd7f235b9d552,Grapevine World,https://icobench.com/ico/grapevine,3877,Y,Ethereum,ERC20,2018-07-04,2018-08-15,,,,0.0,0.0
GraphGrail AI,transfer after ending,0xf207ccfe6d1b90b0b7817ce2d5d262af1514e37b,GraphGrail,https://icobench.com/ico/graphgrail-ai,3878,Y,Ethereum,ERC20,2018-02-19,2018-05-25,,,,0.0,0.0
Gratzio,NonERC20,,Gratzio,https://icobench.com/ico/gratzio,3879,N,Stellar,Stellar,2018-07-30,2018-09-20,2018-07-30,2018-08-30,,0.0,0.0
Graz,NoMatch,,Graz,https://icobench.com/ico/graz,3880,N,Ethereum,ERC20,2018-05-01,2018-05-31,2018-05-01,2018-05-31,,0.0,0.0
GRE,ICODateSeemsWrong,,Global Risk Exchange,https://icobench.com/ico/gre,3881,Y,Ethereum,ERC20,2018-05-18,2018-05-24,,,,0.0,0.0
GreenWorld Farm,ICODateSeemsWrong,0x14f0d2737c1fdcd3200c49e429592ebcf44cf92a,,https://icobench.com/ico/greenworld-farm,3883,Y,Ethereum,ERC20,2018-05-14,2018-07-14,,,,0.0,0.0
GreenX,transfer after ending,0xdac15794f0fadfdcf3a93aeaabdc7cac19066724,GreenX,https://icobench.com/ico/greenx,3884,Y,Ethereum,ERC20,,2018-07-31,2018-06-15,2018-07-31,,0.0,0.0
GrocerCoin,NoTokenTransfer,0xbcf3c910482b3125063582374552d083cb36498c,GrocerCoin,https://icobench.com/ico/grocercoin,3885,N,Ethereum,ERC20,,2018-06-03,2018-02-03,2018-06-03,,0.0,0.0
Grow & Mine,NoMatch,,,https://icobench.com/ico/grow-amp-mine,3887,N,Ethereum,ERC20,,2018-04-30,,,,0.0,0.0
Guardium,NonERC20,,Guardium,https://icobench.com/ico/guardium,3890,N,,NEP-5,2018-05-03,2018-06-01,2018-03-20,2018-04-20,,0.0,0.0
H2SOL,NoMatch,,,https://icobench.com/ico/h2sol,3892,N,Ethereum,ERC20,2018-05-01,2018-05-31,,,,0.0,0.0
Habibicoin,OK,0xa28cfc0dcbd4691daf334064363a505ecd241677,Habibicoin,https://icobench.com/ico/habibicoin,3893,N,Ethereum,ERC20,2018-04-30,2018-07-17,,,0x0000000000000000000000000000000000000000,0.0,0.0
HAI Project,NoMatch,,HAI Project,https://icobench.com/ico/hai-project,3894,N,Ethereum,ERC20,2018-05-14,2018-06-28,2018-05-14,2018-06-11,,0.0,0.0
Handelion,DistributorsHardtoIdentify,,Handelion,https://icobench.com/ico/handelion,3897,N,Ethereum,,2017-12-15,2018-03-31,2017-12-07,2018-03-31,,0.0,0.0
HARA,transfer after ending,,HARA (HART),https://icobench.com/ico/hara,3898,Y,Ethereum,ERC20,2018-11-14,2018-11-30,2018-11-14,2018-11-30,,0.0,0.0
Harbor,NoTokenTransfer,0x1c5762cbd629afd0e229eab401f1e24588f47b34,,https://icobench.com/ico/harbor,3899,N,Ethereum,ERC20,2018-07-03,2018-08-02,,,,0.0,0.0
HashCard,OK,0x14eae1322abcadf490bc6ebd6a821a86373e20c4,Hash Card,https://icobench.com/ico/hashcard,3901,N,Ethereum,ERC20,2018-05-01,2018-06-12,,,0x7acc4b2272e3f5f691f7447c16eb1b71890ced9c,0.0,0.0
Hazeian,NoMatch,,Hazeian,https://icobench.com/ico/hazeian,3902,N,Ethereum,ERC20,2018-05-16,2018-06-13,2018-05-16,2018-06-13,,0.0,0.0
HDCoin,NoTokenTransfer,0x4c4c8a35cff8a10387ae1634f0b2316b9368c041,HDCoin,https://icobench.com/ico/hdcoin,3903,N,Ethereum,ERC20,2018-03-20,2018-05-20,,,,0.0,0.0
HealthHeart,transfer after ending,0x4fbc28e3b3c1c50ee05dcd66d9fc614a0cb99705,HealthHeart,https://icobench.com/ico/healthheart,3905,Y,Ethereum,,2017-12-01,2017-12-31,,,,0.0,0.0
Healthureum,NoMatch,,Healthureum,https://icobench.com/ico/healthureum,3906,Y,Ethereum,ERC20,2018-02-26,2018-04-01,2018-02-26,2018-04-01,,0.0,0.0
Hedge.pro,NoTokenTransfer,0x8fa72d925d0e483b6a228bcfe3df2e5b3cf28e70,,https://icobench.com/ico/hedge-pro,3907,N,Ethereum,ERC20,2017-11-15,2017-12-13,,,,0.0,0.0
HEdpAY,OK,0xc4d5545392f5fc57eba3af8981815669bb7e2a48,HEdpAY (Hdp.f),https://icobench.com/ico/hedpay,3908,N,Ethereum,ERC20,2018-07-09,2018-11-30,,,0x012a1ee336fbe10a2f05ff93f3985657f48a0037,2.0,0.0
HeliosCoin,NoMatch,,HeliosCoin,https://icobench.com/ico/helioscoin,3910,N,Ethereum,ERC20,2018-07-01,2018-10-01,2018-07-01,2018-10-01,,0.0,0.0
Helveticoin,NoTokenTransfer,0xa05974f14c9f5fea9f3babb653309bb8be969610,HelvetiCoin,https://icobench.com/ico/helveticoin,3913,N,Ethereum,ERC20,2018-03-03,2018-04-12,2018-03-03,2018-04-12,,0.0,0.0
Hereda Hashgraph,NonERC20,,Hedera Hashgraph,https://icobench.com/ico/hereda-hashgraph,3915,Y,Ethereum,,,,,,,0.0,0.0
Hero,NoTokenTransfer,0xb06306fa0ea98ebbcd98accbf95c4bac40bfda52,HERO,https://icobench.com/ico/hero-2,3916,N,Ethereum,ERC20,2018-06-01,2018-07-15,2018-05-01,2018-07-01,,0.0,0.0
HeroesJourney,NoTokenTransfer,0x2b33c185970c3c33ac52a5240e3a81417147d7a7,HeroesJourney,https://icobench.com/ico/heroesjourney,3918,N,Ethereum,ERC20,2018-06-16,2018-04-16,2018-03-15,2018-05-15,,0.0,0.0
HIGHER,NoTokenTransfer,0x1363339aDA0CFC256a5F6C6Aca279e24a872Ee3b,,https://icobench.com/ico/higher,3920,N,Ethereum,ERC20,2018-05-15,2018-06-15,,,,0.0,0.0
HighSeek,NonERC20,,,https://icobench.com/ico/highseek,3921,N,Waves,Waves,2018-03-30,2018-04-30,,,,0.0,0.0
HiHealth,NoMatch,,,https://icobench.com/ico/hihealth,3923,N,Ethereum,ERC20,2018-08-01,2018-10-10,,,,0.0,0.0
HireGo,OK,0xaaa89105dab822dbc9a6de64a23d045d99d5fd36,HireGo,https://icobench.com/ico/hirego,3925,N,Ethereum,ERC20,2018-05-01,2018-06-01,2018-05-01,2018-06-01,0x2ce8a025f3a547d75d69bb9f6a55b279638e4b2e,2.0,1072.0
Hiveway,OK,0x322745a94f04929c3953697551b40b869d6aa5d4,,https://icobench.com/ico/hiveway,3926,N,Ethereum,ERC20,2018-03-01,2018-04-01,,,0xecabf659b107799721c13df71cbc46d074fece57,0.0,0.0
HOLD,transfer after ending,0xd6e1401a079922469e9b965cb090ea6ff64c6839,HOLD,https://icobench.com/ico/hold,3928,Y,Ethereum,ERC20,,2018-05-31,,,,0.0,0.0
HomeMine,NonERC20,,HomeMine (HMT),https://icobench.com/ico/homemine,3931,N,Waves,Waves,2018-05-28,2018-06-21,2018-05-28,2018-06-21,,0.0,0.0
honeybee,NoTokenTransfer,,Honeybee,https://icobench.com/ico/honeybee,3932,N,Ethereum,ERC20,,2018-07-01,2018-06-01,2018-07-01,,0.0,0.0
Horizon Communications,NoMatch,,Horizon Communications,https://icobench.com/ico/horizon-communications,3933,N,Ethereum,ERC20,2018-08-01,2018-11-01,2018-08-01,2018-11-01,,0.0,0.0
HorseCoin,NoTokenTransfer,0xc680c6b5d3eb2aff6a15d52839fbdf4ef5b231cd,HorseCoin,https://icobench.com/ico/horsecoin,3934,N,Ethereum,ERC20,2018-02-24,2018-06-29,2018-02-24,2018-06-29,,0.0,0.0
HotEngine,NoTokenTransfer,0x2017df0f6da7811bb87e19c6ad7c3cb07e1a94dd,HotEngine,https://icobench.com/ico/hotengine,3936,N,Ethereum,ERC20,,2018-07-30,2018-06-01,2018-07-30,,0.0,0.0
Howdoo,transfer after ending,0x0df721639ca2f7ff0e1f618b918a65ffb199ac4e,Howdoo,https://icobench.com/ico/howdoo,3937,N,Ethereum,ERC20,2018-06-12,2018-07-12,2018-06-12,2018-07-12,,0.0,0.0
HPlus,NonERC20,,HPlus (H+),https://icobench.com/ico/hplus,3938,N,"POS,POW",,,2018-05-31,2018-01-13,2018-05-30,,0.0,0.0
HPQ,NoMatch,,HPQ,https://icobench.com/ico/hpq,3939,N,Ethereum,ERC20,,,2018-05-29,2018-08-31,,0.0,0.0
Humancoin (PreICO),NoMatch,,Humancoin,https://icobench.com/ico/humancoin,3941,Y,Ethereum,ERC20,2018-09-15,2018-11-01,,,,0.0,0.0
Humanixr,NoTokenTransfer,,HumanixR,https://icobench.com/ico/humanixr,3942,N,Ethereum,ERC20,2018-06-20,2018-07-20,2018-06-20,2018-07-18,,0.0,0.0
Hupplat,NoTokenTransfer,,Hupplat,https://icobench.com/ico/hupplat,3944,N,Ethereum,ERC20,,,2018-05-20,2018-10-31,,0.0,0.0
HUYUcoin,NonERC20,,HUYUcoin,https://icobench.com/ico/huyucoin,3946,N,Waves,Waves,2018-06-01,2018-06-30,2018-06-01,2018-06-30,,0.0,0.0
HybridBlock,transfer after ending,0x6059f55751603ead7dc6d280ad83a7b33d837c90,Hybrid Block,https://icobench.com/ico/hybridblock,3947,Y,Ethereum,ERC20,2018-05-23,2018-06-06,,,,0.0,0.0
HYCON,NonERC20,,Hycon,https://icobench.com/ico/hycon,3948,Y,Infinity Blockchain,,2018-03-30,2018-05-11,2018-03-30,2018-04-30,,0.0,0.0
HydroCoin,OK,0xd3a71bc3f0a78dae8b184c4463ea7ec4cc3e7ca9,HydroCoin,https://icobench.com/ico/hydrocoin,3949,N,Ethereum,ERC20,2018-04-01,2018-09-30,2018-04-01,2018-09-30,0x0000000000000000000000000000000000000000,0.0,0.0
Hyperion Fund,NoMatch,,Hyperion Fund,https://icobench.com/ico/hyperion-fund,3950,Y,Ethereum,ERC20,2018-07-15,2018-08-31,2018-07-15,2018-08-21,,0.0,0.0
Iagon,DistributorsHardtoIdentify,0x96e322f2a4f151cd898f86ea5626cc6e10090c76,IAGON,https://icobench.com/ico/iagon,3952,Y,Ethereum,ERC20,2018-07-07,2018-10-05,2018-07-07,2018-08-07,,0.0,0.0
IAMHERO,NoMatch,,Iamhero,https://icobench.com/ico/iamhero,3953,N,Ethereum,ERC20,2018-04-17,2018-05-17,2018-04-22,2018-05-21,,0.0,0.0
IAT,NoMatch,,IA Tokens,https://icobench.com/ico/iat,3954,N,Ethereum,ERC20,2018-06-15,2018-08-15,,,,0.0,0.0
IBFS.world,NoTokenTransfer,0xe0bce5d31d57ee5b0162ca8088c3ba4145f17fee,,https://icobench.com/ico/ibfs-world,3955,N,Ethereum,,2017-12-01,2018-01-28,,,,0.0,0.0
ICBCoin,NoMatch,,ICBCoin,https://icobench.com/ico/icbcoin,3957,N,Ethereum,ERC20,2018-07-23,2018-09-24,2018-07-23,2018-09-24,,0.0,0.0
IceBreakerAR (PreICO),NoMatch,,IceBreakerAR,https://icobench.com/ico/icebreakerar,3958,N,Ethereum,ERC20,2018-10-15,2018-11-15,,,,0.0,0.0
ICO Pass,NoMatch,,ICO Pass,https://icobench.com/ico/ico-pass,3960,Y,Ethereum,ERC20,2018-05-08,2018-06-08,2018-05-08,2018-06-08,,0.0,0.0
ICOHeadStart,DistributorsHardtoIdentify,0x4540fcf016bcb67290c3e14238702c64e6a51600,ICO HeadStart,https://icobench.com/ico/icoheadstart,3961,Y,Ethereum,ERC20,2018-03-26,2018-06-24,2018-03-26,2018-06-26,,0.0,0.0
Icoico,NoMatch,,,https://icobench.com/ico/icoico,3962,N,Ethereum,ERC20,2017-11-17,2018-03-01,,,,0.0,0.0
Iconic Ecosystem,ICODateSeemsWrong,,ICONIC,https://icobench.com/ico/iconic-ecosystem,3963,N,Ethereum,ERC20,2018-05-01,2018-05-31,,,,0.0,0.0
ICOStart,OK,0x330839ef82d34801bd96e75a4ee778ac56fa1ed8,ICOStart,https://icobench.com/ico/icostart,3964,Y,Ethereum,ERC20,2018-05-22,2018-08-23,2018-05-22,2018-08-23,0xfe35d801045592879638d26f74caeb6b1c4abaab,0.0,0.0
ICOVO,DistributorsHardtoIdentify,0x8232875761b97a5242a4cffb94828dff5c101950,ICOVO,https://icobench.com/ico/icovo,3965,Y,Ethereum,ERC20/ERC223,2018-10-30,2018-11-30,2018-10-10,2018-10-30,,0.0,0.0
ICST,,,,https://icobench.com/ico/icst,3966,Y,Ethereum,ERC20,,2018-07-27,,,,0.0,0.0
IdealCoin,OK,0x3ca51bd89078145a8a16f09fc254677550bdb566,IdealCoin,https://icobench.com/ico/idealcoin,3968,N,Ethereum,ERC20,2018-09-01,2018-11-30,2018-09-01,2018-11-30,0x7c811ceffebaed45cb693bb18c950d1933e6f05d,0.0,0.0
IDGO (PreICO),NoTokenTransfer,0xf94535af52b126a4ea16041cc6b1aee68a0b8ba5,IDGO,https://icobench.com/ico/idgo,3969,N,Ethereum,ERC20,,,,,,0.0,0.0
IDM,OK,0x6a27d7159151dc5198b972dca22c97925071dee9,,https://icobench.com/ico/idm,3970,Y,Ethereum,ERC20,2018-08-30,2018-10-04,,,,0.0,0.0
IDTechnology,NoMatch,,IDTechnology (LK),https://icobench.com/ico/idtechnology,3971,N,Ethereum,ERC20,,2018-06-15,2018-05-27,2018-09-27,,0.0,0.0
iFan,Scam,0xae84013bb37ef96abe16f5017a50c1e4d870a331,,https://icobench.com/ico/ifan,3972,N,Ethereum,ERC20,2017-11-15,2017-12-15,,,,0.0,0.0
IIOTTEL,NoMatch,,,https://icobench.com/ico/iiottel,3974,N,Ethereum,ERC20,2018-03-19,2018-05-19,,,,0.0,0.0
ILCOIN,NoMatch,,ILCoin (ILC),https://icobench.com/ico/ilcoin,3975,Y,Ethereum,,2017-10-15,2018-01-15,,,,0.0,0.0
