ICO_Name_ib,Status(donghwa),Etherscan Address,ICO_Name_rt,ico_address,no_tl,Success (Y/N),Platform_ib,Type_ib,ICO start_ib,ICO end_ib,ICO_start_rt,ICO_end_rt,DistributorAddress,Single Layer,Double Layer
Akaiito,transfer after ending,0x90e7284b980952874dc7a76274a0dddb1f5d6817,Akaiito,https://icobench.com/ico/akaiito,3068,Y,Ethereum,ERC20,2018-03-13,2018-05-16,,,,0.0,0.0
AKM GLOBAL,NoTokenTransfer,0x1dFf419E268Da24005f32a2D53250b260530E173,AKMInvest,https://icobench.com/ico/akm-global,3069,N,Ethereum,,2017-09-30,2018-05-10,,,,0.0,0.0
Aktie Social,NoMatch,,Aktie Social,https://icobench.com/ico/aktie-social,3070,N,Ethereum,ERC20,2018-03-01,2018-04-11,,,,0.0,0.0
Alchemy (PreICO),,0xaf8eabf89f5664a2bc82ca415a4337821cd54d65,Alchemy,https://icobench.com/ico/alchemy,3072,Y,Ethereum,ERC20,2018-08-27,2018-09-10,,,,0.0,0.0
Aleef (PreICO),OK,0xec1ee34fdc6b460626a24f215ed20a74dcaa5a6c,,https://icobench.com/ico/aleef-coin-ico,3073,N,Ethereum,ERC20,2018-08-19,2018-10-22,,,0x1dac6191ac75edb8f12b2562797b553cf34dde66,7.0,0.0
Alehub,NoMatch,,Alehub,https://icobench.com/ico/alehub,3074,Y,Ethereum,ERC20,2018-07-25,2018-11-24,2018-07-25,2018-11-24,,0.0,0.0
Alethena,NoMatch,,Alethena,https://icobench.com/ico/alethena,3075,Y,Ethereum,ERC20,2018-06-06,2018-06-27,2018-06-06,2018-06-27,,0.0,0.0
Alicoin Cash,transfer after ending,0xf64021c7af86d14fcfdf4ecec01e17ea36009597,Alicoin Cash,https://icobench.com/ico/alicoin-cash,3078,Y,Ethereum,ERC20,2018-03-31,2018-05-15,,,,0.0,0.0
AligatoCoin,ICODateSeemsWrong,0x0090d11b3752826c8b6e86ff3ca0a3f6466db8a0,AligatoCoin,https://icobench.com/ico/aligatocoin,3079,Y,Ethereum,ERC20,2018-07-29,2018-11-30,,,,0.0,0.0
AlkebulanCash (One Africa Cryptocurrency),NonERC20,,,https://icobench.com/ico/alkebulancash-one-africa-cryptocurrency,3081,N,Waves,Waves,2018-06-01,2018-07-29,,,,0.0,0.0
AllForMiner,NoMatch,,AllForMiner,https://icobench.com/ico/allforminer,3083,Y,Ethereum,ERC20,2018-05-15,2018-08-01,2018-06-01,2018-06-30,,0.0,0.0
AllStocks,OK,0x2d95a6174bc8e6c9550afcdd5a71c584b0f3d08d,AllStocks,https://icobench.com/ico/allstocks,3087,N,Ethereum,ERC20,2018-05-01,2018-06-30,2018-05-01,2018-06-30,0x0000000000000000000000000000000000000000,0.0,0.0
ALLUXE (PreICO),NoMatch,,Alluxe,https://icobench.com/ico/alluxe,3089,N,Ethereum,ERC20,2018-08-23,2018-09-26,,,,0.0,0.0
AlphaMarket,OK,0xc26aa9ad649c5def6d7f94fc46667f70210fe565,AlphaMarket,https://icobench.com/ico/alphamarket,3091,N,Ethereum,ERC20,2018-04-16,2018-10-01,2018-04-16,2018-10-01,"0x4d8cf569c2fd7c436f44dea3763c6bf967358e8d,0xecfd249f3fb1c32b45b58c67110a25ce9de1ddb5,0x89d80ec155df05ec585a59e1a11a3d3ad6b6cd48",0.0,0.0
Alphathereum,NoTokenTransfer,0x378898dc9678aeef1a20d7b308101f7b79983b08,,https://icobench.com/ico/alphathereum,3092,N,Ethereum,,2017-10-01,2017-11-30,,,,0.0,0.0
Alt.Estate,transfer after ending,0x419b8ed155180a8c9c64145e76dad49c0a4efb97,Alt.Estate,https://icobench.com/ico/alt-estate,3093,Y,Ethereum,ERC20,2018-05-30,2018-07-31,,,,0.0,0.0
Alttex,OK,0xb1ed41dc1fe9b723a31137afdd1201d17917fe91,Alttex,https://icobench.com/ico/alttex,3095,Y,Ethereum,ERC20,2018-03-03,2018-06-01,2018-03-03,2018-04-19,0xb1ed41dc1fe9b723a31137afdd1201d17917fe91,0.0,0.0
altumea,NoMatch,,Altumea,https://icobench.com/ico/altumea,3096,N,Ethereum,ERC20,2018-04-18,2018-04-28,2018-04-18,2018-04-28,,0.0,0.0
Ambit,OK,0x3d2b62ad28a7a11824db8d64d170843e3b89f6ec,Ambit,https://icobench.com/ico/ambit,3097,Y,Ethereum,ERC20,2018-05-01,2018-06-10,2018-05-01,2018-05-30,0x3d2b62ad28a7a11824db8d64d170843e3b89f6ec,0.0,0.0
AMO Coin,OK,0x38c87aa89b2b8cd9b95b736e1fa7b612ea972169,AMO Blockchain,https://icobench.com/ico/amo-coin,3100,Y,Ethereum,ERC20,2018-07-13,2018-07-20,,,0x1e0f2597a2f6273b297d40b53d0e472abd18e967,0.0,0.0
Amor,OK,0xad413f7f88674adb05a8c7b0c280811ad6735707,Amor,https://icobench.com/ico/amor,3101,N,,ERC20,2017-12-02,2018-01-02,2017-12-01,2018-02-13,0x37b161b04db240886cf8c494b83a1c76f7e31c56,0.0,0.0
ANTAVIRA,NoMatch,,ANTAVIRA,https://icobench.com/ico/antavira,3102,N,Ethereum,ERC20,2018-06-16,2018-07-16,2018-06-16,2018-07-16,,0.0,0.0
Anti Derivative,NoTokenTransfer,0xf58c8347872197524255bb73c4130ff17abc2233,,https://icobench.com/ico/anti-derivative,3103,N,Ethereum,ERC20,2018-09-15,2018-10-15,,,,0.0,0.0
ANTIMASS ICO,NoMatch,,,https://icobench.com/ico/antimass-ico,3104,Y,Ethereum,ERC20,2018-02-17,2018-03-31,,,,0.0,0.0
APIS,OK,0x4c0fbe1bb46612915e7967d2c3213cd4d87257ad,APIS,https://icobench.com/ico/apis,3106,Y,Ethereum,ERC20,2018-03-04,2018-04-03,2018-03-04,2018-04-03,0x648882885785633309d7ef4f463fb2f7e53698e4,1.0,0.0
APO Finance,NoMatch,,,https://icobench.com/ico/apo-finance,3107,N,Ethereum,ERC20,,2018-05-23,,,,0.0,0.0
Apollo Septem,Complicated,0xeeb69fca351cfd49a8b977b28868d7e6edb9cd02,Apollo Septem,https://icobench.com/ico/apollo-septem,3108,N,Ethereum,ERC20,2018-05-01,2018-10-25,,,,0.0,0.0
Apollon,transfer after ending,0xaf364474803e89250a46d592fef4cc4ef8270dd8,Apollon,https://icobench.com/ico/apollon,3110,N,Ethereum,ERC20,2018-08-01,2018-08-31,2018-07-16,2018-08-31,,0.0,0.0
APPICS,NonERC20,0x9ec58861641bc805564bbc0c5fb4a856516238e7,APPICS,https://icobench.com/ico/appics,3112,N,Steem,,2018-03-28,2018-04-28,2018-03-28,2018-04-28,,0.0,0.0
APRES,OK,0x0cf2437ebed77cbd139e018f5277261e20b544b7,,https://icobench.com/ico/apres,3113,N,Ethereum,ERC20,2018-03-02,2018-12-01,,,0xefda28d0572df32d35e6de45c2a1ce57e7de5041,0.0,0.0
AQUA,transfer after ending,0x5bf35c3ac1c309601ed086eb544753e12f83e4dd,,https://icobench.com/ico/aqua,3114,N,Ethereum,ERC20,2018-11-25,2018-11-30,,,,0.0,0.0
ARAW,NonERC20,0x30680ac0a8a993088223925265fd7a76beb87e7f,ARAW,https://icobench.com/ico/araw,3117,Y,Ethereum,Ethereum,2018-09-10,2018-11-09,2018-09-10,2019-02-15,,0.0,0.0
Arcadia,Complicated,0xec01d916a853036a6080750f7d2b5902b5db84b2,Arcadia (AR2),https://icobench.com/ico/arcadia,3119,N,Ethereum,ERC20,2018-05-01,2018-06-21,2018-05-01,2018-05-25,,0.0,0.0
ARCALLIA,NoMatch,,Arcallia,https://icobench.com/ico/arcallia,3120,N,Ethereum,ERC20,,2018-03-31,,,,0.0,0.0
