STARTUP NAME,Status,DistributorAddress,DistributorAddress2,Single Layer,Double Layer
Alchemy (PreICO),,,,0.0,0.0
Aleef (PreICO),OK,0x1dac6191ac75edb8f12b2562797b553cf34dde66,,7.0,0.0
Alehub,NoMatch,,,0.0,0.0
Alethena,NoMatch,,,0.0,0.0
Alfa,NoTokenTransfer,,,0.0,0.0
Algebraix Data,NoMatch,,,0.0,0.0
Alibabacoin,NoMatch,,,0.0,0.0
Alicoin Cash,transfer after ending,,,0.0,0.0
AligatoCoin,ICODateSeemsWrong,,,0.0,0.0
AlkebulanCash (One Africa Cryptocurrency),NonERC20,,,0.0,0.0
AllForMiner,NoMatch,,,0.0,0.0
AllStocks,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Allchain,NoMatch,,,0.0,0.0
Allend,NoMatch,,,0.0,0.0
AlphaMarket,OK,"0x4d8cf569c2fd7c436f44dea3763c6bf967358e8d,0xecfd249f3fb1c32b45b58c67110a25ce9de1ddb5,0x89d80ec155df05ec585a59e1a11a3d3ad6b6cd48",,0.0,0.0
Alphathereum,NoTokenTransfer,,,0.0,0.0
Alt Planet,NoMatch,,,0.0,0.0
Alt.Estate,transfer after ending,,,0.0,0.0
Alttex,OK,0xb1ed41dc1fe9b723a31137afdd1201d17917fe91,,0.0,0.0
Alux Bank,NoTokenTransfer,,,0.0,0.0
Ambit,OK,0x3d2b62ad28a7a11824db8d64d170843e3b89f6ec,,0.0,0.0
Ammeris,NonERC20,,,0.0,0.0
Amon,,,,0.0,0.0
Amor,OK,0x37b161b04db240886cf8c494b83a1c76f7e31c56,,0.0,0.0
Amos,NoTokenTransfer,,,0.0,0.0
Amplify,transfer after ending,,,0.0,0.0
Anti Derivative,NoTokenTransfer,,,0.0,0.0
AntiqMall,AlreadyinPreviousFile,,,0.0,0.0
Apla,,,,0.0,0.0
Apollo Currency,NoTokenTransfer,,,0.0,0.0
Apollo Septem,Complicated,,,0.0,0.0
Apollon,transfer after ending,,,0.0,0.0
Arcadia,Complicated,,,0.0,0.0
Arcona,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Arevalor,NoTokenTransfer,,,0.0,0.0
Argyle,NoTokenTransfer,,,0.0,0.0
AriseBank,NonERC20,,,0.0,0.0
Arizn,NoTokenTransfer,,,0.0,0.0
ArmPack,NoMatch,,,0.0,0.0
ArtChain Global,DistributorsHardtoIdentify,,,0.0,0.0
ArtWook,OK,0xb81f26d105bf46c0d956bebdd0cc89d34aa94053,,0.0,0.0
Artis,CancelledICO,,,0.0,0.0
AsicVault,NonERC20,,,0.0,0.0
Assetereum,NoMatch,,,0.0,0.0
Assistive Reality ARX,AlreadyinPreviousFile,,,0.0,0.0
Aston,transfer after ending,,,0.0,0.0
AstorGame,OK,0x16b364f5ef7c81479754a8958fcf2756ef0d4652,,0.0,0.0
Astoria (PreICO),NoMatch,,,0.0,0.0
Asura Coin,NonERC20,,,0.0,0.0
Athero,transfer after ending,,,0.0,0.0
Atisios,NoMatch,,,0.0,0.0
Augmate,NoMatch,,,0.0,0.0
Aunite,NoMatch,,,0.0,0.0
Auricoin,,,,0.0,0.0
Aurora,transfer after ending,,,0.0,0.0
Authpaper,transfer after ending,,,0.0,0.0
AvaGo,OK,0x8d7b3a122b8379fad019ed35e3899951148d9027,,1.0,188.0
AvantGarde Ratings,transfer after ending,,,0.0,0.0
Avatar Network,transfer after ending,,,0.0,0.0
Avatara,OK,0x9653b504a33fe5d2434af7ccacfcd4304862b23a,,0.0,0.0
Avesta,NoMatch,,,0.0,0.0
Aworker,transfer after ending,,,0.0,0.0
Axtrust,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Azbit,,,,0.0,0.0
B-mail,OK,0x535f366f93b205a86c93c70cc02755d01a80977f,,6.0,125.0
B.SURE,NoMatch,,,0.0,0.0
B2AND,transfer after ending,,,0.0,0.0
BACE Exchange,OK,0x7d7caeb5badbda7bb803fd2ad3b60396f60e897d,,0.0,0.0
BARTVault,NoMatch,,,0.0,0.0
BASIS NEURO,OK,0xfb7bdc6358d88ac73d302193120bd7843f9cfd04,,0.0,0.0
BBiller,DistributorsHardtoIdentify,,,0.0,0.0
BCB ATM,,,,0.0,0.0
BCEDEX,,,,0.0,0.0
BCG,transfer after ending,,,0.0,0.0
BCharity - International Charity Exchange,NoTokenTransfer,,,0.0,0.0
BDCC,transfer after ending,,,0.0,0.0
BDXAlliance,DistributorsHardtoIdentify,,,0.0,0.0
BEATRIX (PreICO),NoMatch,,,0.0,0.0
BELDEX,NonERC20,,,0.0,0.0
BETEX,transfer after ending,,,0.0,0.0
BF Token,transfer after ending,,,0.0,0.0
BGX,ICODateSeemsWrong,,,0.0,0.0
BIG Token,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
BILL and GO,NonERC20,,,0.0,0.0
BIRC,ComplexPatterns,,,0.0,0.0
BIT.GAME,OK,"0xc817a2afe8f6ba1a697daaa1df834e18be9403e7,0xf13b2d7c5d6d6e93f79d41fa72cfd33a75c0607d",,0.0,0.0
BITCOINUS,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
BITRUST,NoTokenTransfer,,,0.0,0.0
BITTECH (PreICO),OK,0x8e8d4cdadbc027b192dff91c77382521b419e5a2,,1.0,0.0
BOOSTO (PreICO),OnlyPreICO,,,0.0,0.0
BQT,,,,0.0,0.0
BR11,NoMatch,,,0.0,0.0
BTU Protocol,,,,0.0,0.0
BaaSid,transfer after ending,,,0.0,0.0
Baanx.com,OnlyPreICO,,,0.0,0.0
BaapPay,OK,0xab9ecfdbb0abc5da29f166e3d4429b8c0de493ce,,0.0,0.0
Bablos,DistributorsHardtoIdentify,,,0.0,0.0
Backpack Travel,OK,0x65fb0727416e6fe45299487c0bf7b33fd5895b59,,0.0,0.0
Bahiti,,,,0.0,0.0
Bailsman,NonERC20,,,0.0,0.0
Balehu Bucks,NoMatch,,,0.0,0.0
BaltiCrypto,NoMatch,,,0.0,0.0
Bancryp,OK,0x66fc388e7af7ee6198d849a37b89a813d559913a,,0.0,0.0
Bank Of Memories,NoMatch,,,0.0,0.0
Bank4You,transfer after ending,,,0.0,0.0
Bayan Token,transfer after ending,,,0.0,0.0
Bdaq (PreICO),NoTokenTransfer,,,0.0,0.0
BeANKH,NoTokenTransfer,,,0.0,0.0
BeEasy,transfer after ending,,,0.0,0.0
Beat,ICODateSeemsWrong,,,0.0,0.0
