0chain ,0.529361093
0penProductDB,0.353850996
0x,0.498298929
0xcert,0.651054791
100Tokens,0.4
108_Token,0.528571429
12SHIPS,-0.03047619
1APayment,-0.087873269
1KCoin,0.106888879
1World,0.549898227
1WorldBlockchain,-1
2100NEWS_ICO,0.561680225
22x_Fund,0.611207715
27v,0.596607928
2Key,0.441000686
300cubits_TEU,0.600709675
3cCoin,0.15599062
3D-Token,0.425123418
3DChain,0.644703998
3DES,-0.133333333
4ARTechnologies_(PreICO),0.414665247
4lions.pro,-0.161363636
4NEW,0.58885228
777.Bingo,-0.427289558
88_Coin,-0.25
8_Circuit_Studios,-0.036015413
A2B_Taxi,0.473237651
A7_Core,0.244505495
AAA_Coin,0.35
Aamicoin,-1
Aaramco,-0.024701934
AB-CHAIN,0.50027656
Abab,-0.280914156
AbacasXchange,0.422766798
Abele_(PreICO),0.571061201
AbjCoin,-0.037728831
ABL,-0.2
ABLE,0.044444444
ABR,-3.70E-17
ACA_Network,0.728080808
Academia_Lingu_(PreICO),0.7675
Academy,-0.137175134
Access_Network,-0.214948229
Accord_ICO,-1
Accounting_Blockchain,0.634347267
Acebusters,-0.254547003
Aceso,0.304037244
AchieveCoin,-1
Acme_Network,-1
Acomobase,0.522916667
Acorn_Collective,0.622615429
Acred,0.357894737
ACT,-0.4
Action_Coin,0.146087174
ACUDEEN,0.732467256
Acuitty,0.345454545
Acumen,0.7
AcuteCoin,0.75
Ad_Funnel,0.317645193
Adab_Solutions,0.657179768
ADAMANT_Messenger,0.088895525
Adbank,0.521465087
adCircle,-0.204761905
Addocoin,-1
AdEx,0.481444509
AdHive,0.4
Aditus,0.661612158
AdMine,-0.397727273
ADPUMP,0.408697794
AdRealm,0.542594064
Adshares,-0.59300412
AdSigma,0.363849723
adToken,-1
AdultCam,0.4
Advanced_Browsing_Token,0.448227445
Advanced_Miners,0.502410634
aelf,-0.150855998
AEN,0.251571058
Aenco_(PreICO),0.402959095
AERGO,0.611765205
AERO_Token,0.342184518
Aeron,0.455035819
Aeropoisk,-1
aeternity,0.215585479
Aeternum,-1
Aeternum_Coin,0.621287636
Aeternum_ICO,0.644609567
Aether_United,-0.321733845
Aexon,0.563697479
Affchain,0.112303908
AffiliateCoin,0.562527952
Africunia,0.66697986
AfterEther,-1
Afterschool,0.057142857
AGATE,0.363636364
Age_of_Dragons,-0.14
Agent_Not_Needed,0.318838081
AgentMile,0.745996731
AgreCoin_(CAN),-0.098332207
Agrello,-0.234512877
Agricoin,-1
Agrivita,-0.088556234
Agrolot,0.644160288
AgroTechFarm_(PreICO),0.656059331
Ahoolee,-0.325
AI_Crypto,0.690177272
AI_Opinion,-0.073305196
AiBB_(PreICO),0.559788696
AICoin,0.637414424
AIDA,0.430229769
AidCoin,0.302185822
Aigang,0.58180655
AIgatha,0.025515866
AIGCoin,0.571517919
Aigo,0.5022829
Aimedis,0.177142857
Aion,-0.353333333
Airbloc,0.448060886
Airchain_Network,0.056410256
AIRCOIN,-0.202945027
AIREN,-0.742857143
AIREXE,0.511866484
Airforce_Mining,0.408333333
AirPod,0.755558245
AIRSTAYZ,-0.202212717
Airswap,0.077557927
AirToken,0.60175268
